date,precipitation,city,quarter,year,month,cumulative_month,cumulative_quarter
2020-04-15,0.0,Seattle,2,2020,4,3,1
2020-04-16,0.0,Seattle,2,2020,4,3,1
2020-04-17,0.0,Seattle,2,2020,4,3,1
2020-04-18,0.06625,Seattle,2,2020,4,3,1
2020-04-19,0.1388888888888889,Seattle,2,2020,4,3,1
2020-04-20,0.0,Seattle,2,2020,4,3,1
2020-04-21,0.0,Seattle,2,2020,4,3,1
2020-04-22,0.10285714285714286,Seattle,2,2020,4,3,1
2020-04-23,0.6875,Seattle,2,2020,4,3,1
2020-04-24,0.1025,Seattle,2,2020,4,3,1
2020-04-25,0.16666666666666666,Seattle,2,2020,4,3,1
2020-04-26,0.21500000000000002,Seattle,2,2020,4,3,1
2020-04-27,0.20875,Seattle,2,2020,4,3,1
2020-04-28,0.01,Seattle,2,2020,4,3,1
2020-04-29,0.01,Seattle,2,2020,4,3,1
2020-04-30,0.025714285714285714,Seattle,2,2020,4,3,1
2020-05-01,0.00375,Seattle,2,2020,5,4,1
2020-05-02,0.08125,Seattle,2,2020,5,4,1
2020-05-03,0.225,Seattle,2,2020,5,4,1
2020-05-04,0.015714285714285715,Seattle,2,2020,5,4,1
2020-05-05,0.0,Seattle,2,2020,5,4,1
2020-05-06,0.02,Seattle,2,2020,5,4,1
2020-05-07,0.02,Seattle,2,2020,5,4,1
2020-05-08,0.0,Seattle,2,2020,5,4,1
2020-05-09,0.0,Seattle,2,2020,5,4,1
2020-05-10,0.0,Seattle,2,2020,5,4,1
2020-05-11,0.0016666666666666668,Seattle,2,2020,5,4,1
2020-05-12,0.08428571428571428,Seattle,2,2020,5,4,1
2020-05-13,0.025714285714285714,Seattle,2,2020,5,4,1
2020-05-14,0.049999999999999996,Seattle,2,2020,5,4,1
2020-05-15,0.074,Seattle,2,2020,5,4,1
2020-05-16,0.138,Seattle,2,2020,5,4,1
2020-05-17,0.5314285714285715,Seattle,2,2020,5,4,1
2020-05-18,0.01,Seattle,2,2020,5,4,1
2020-05-19,0.0,Seattle,2,2020,5,4,1
2020-05-20,0.0,Seattle,2,2020,5,4,1
2020-05-21,0.36999999999999994,Seattle,2,2020,5,4,1
2020-05-22,0.12333333333333334,Seattle,2,2020,5,4,1
2020-05-23,0.21200000000000002,Seattle,2,2020,5,4,1
2020-05-24,0.0,Seattle,2,2020,5,4,1
2020-05-25,0.06666666666666667,Seattle,2,2020,5,4,1
2020-05-26,0.09833333333333334,Seattle,2,2020,5,4,1
2020-05-27,0.022,Seattle,2,2020,5,4,1
2020-05-28,0.0,Seattle,2,2020,5,4,1
2020-05-29,0.0,Seattle,2,2020,5,4,1
2020-05-30,0.0,Seattle,2,2020,5,4,1
2020-05-31,1.0542857142857143,Seattle,2,2020,5,4,1
2020-06-01,0.06142857142857144,Seattle,2,2020,6,5,1
2020-06-02,0.0,Seattle,2,2020,6,5,1
2020-06-03,0.01,Seattle,2,2020,6,5,1
2020-06-04,0.0,Seattle,2,2020,6,5,1
2020-06-05,0.0,Seattle,2,2020,6,5,1
2020-06-06,0.0,Seattle,2,2020,6,5,1
2020-06-07,0.1366666666666667,Seattle,2,2020,6,5,1
2020-06-08,0.043333333333333335,Seattle,2,2020,6,5,1
2020-06-09,0.16,Seattle,2,2020,6,5,1
2020-06-10,0.14166666666666666,Seattle,2,2020,6,5,1
2020-06-11,0.04,Seattle,2,2020,6,5,1
2020-06-12,0.1416666666666667,Seattle,2,2020,6,5,1
2020-06-13,0.20333333333333334,Seattle,2,2020,6,5,1
2020-06-14,0.17166666666666666,Seattle,2,2020,6,5,1
2020-06-15,0.096,Seattle,2,2020,6,5,1
2020-06-16,0.09,Seattle,2,2020,6,5,1
2020-06-17,0.0016666666666666668,Seattle,2,2020,6,5,1
2020-06-18,0.0,Seattle,2,2020,6,5,1
2020-06-19,0.0,Seattle,2,2020,6,5,1
2020-06-20,0.016,Seattle,2,2020,6,5,1
2020-06-21,0.05,Seattle,2,2020,6,5,1
2020-06-22,0.0,Seattle,2,2020,6,5,1
2020-06-23,0.0,Seattle,2,2020,6,5,1
2020-06-24,0.0,Seattle,2,2020,6,5,1
2020-06-25,0.0,Seattle,2,2020,6,5,1
2020-06-26,0.0,Seattle,2,2020,6,5,1
2020-06-27,0.11400000000000002,Seattle,2,2020,6,5,1
2020-06-28,0.625,Seattle,2,2020,6,5,1
2020-06-29,0.008,Seattle,2,2020,6,5,1
2020-06-30,0.055,Seattle,2,2020,6,5,1
2020-07-01,0.05,Seattle,3,2020,7,6,2
2020-07-02,0.008,Seattle,3,2020,7,6,2
2020-07-03,0.005,Seattle,3,2020,7,6,2
2020-07-04,0.0016666666666666668,Seattle,3,2020,7,6,2
2020-07-05,0.0,Seattle,3,2020,7,6,2
2020-07-06,0.0,Seattle,3,2020,7,6,2
2020-07-07,0.0,Seattle,3,2020,7,6,2
2020-07-08,0.0033333333333333335,Seattle,3,2020,7,6,2
2020-07-09,0.013333333333333334,Seattle,3,2020,7,6,2
2020-07-10,0.012,Seattle,3,2020,7,6,2
2020-07-11,0.002,Seattle,3,2020,7,6,2
2020-07-12,0.045714285714285714,Seattle,3,2020,7,6,2
2020-07-13,0.032,Seattle,3,2020,7,6,2
2020-07-14,0.0,Seattle,3,2020,7,6,2
2020-07-15,0.0,Seattle,3,2020,7,6,2
2020-07-16,0.0,Seattle,3,2020,7,6,2
2020-07-17,0.078,Seattle,3,2020,7,6,2
2020-07-18,0.012,Seattle,3,2020,7,6,2
2020-07-19,0.0,Seattle,3,2020,7,6,2
2020-07-20,0.0,Seattle,3,2020,7,6,2
2020-07-21,0.0,Seattle,3,2020,7,6,2
2020-07-22,0.0175,Seattle,3,2020,7,6,2
2020-07-23,0.004,Seattle,3,2020,7,6,2
2020-07-24,0.006,Seattle,3,2020,7,6,2
2020-07-25,0.0,Seattle,3,2020,7,6,2
2020-07-26,0.0,Seattle,3,2020,7,6,2
2020-07-27,0.0,Seattle,3,2020,7,6,2
2020-07-28,0.0,Seattle,3,2020,7,6,2
2020-07-29,0.0,Seattle,3,2020,7,6,2
2020-07-30,0.0,Seattle,3,2020,7,6,2
2020-07-31,0.0,Seattle,3,2020,7,6,2
2020-08-01,0.0,Seattle,3,2020,8,7,2
2020-08-02,0.0,Seattle,3,2020,8,7,2
2020-08-03,0.0,Seattle,3,2020,8,7,2
2020-08-04,0.0,Seattle,3,2020,8,7,2
2020-08-05,0.0,Seattle,3,2020,8,7,2
2020-08-06,0.028571428571428574,Seattle,3,2020,8,7,2
2020-08-07,0.13333333333333333,Seattle,3,2020,8,7,2
2020-08-08,0.021666666666666667,Seattle,3,2020,8,7,2
2020-08-09,0.016666666666666666,Seattle,3,2020,8,7,2
2020-08-10,0.0,Seattle,3,2020,8,7,2
2020-08-11,0.0,Seattle,3,2020,8,7,2
2020-08-12,0.0,Seattle,3,2020,8,7,2
2020-08-13,0.0,Seattle,3,2020,8,7,2
2020-08-14,0.0,Seattle,3,2020,8,7,2
2020-08-15,0.0,Seattle,3,2020,8,7,2
2020-08-16,0.0,Seattle,3,2020,8,7,2
2020-08-17,0.0,Seattle,3,2020,8,7,2
2020-08-18,0.0,Seattle,3,2020,8,7,2
2020-08-19,0.0,Seattle,3,2020,8,7,2
2020-08-20,0.04142857142857143,Seattle,3,2020,8,7,2
2020-08-21,0.0842857142857143,Seattle,3,2020,8,7,2
2020-08-22,0.045714285714285714,Seattle,3,2020,8,7,2
2020-08-23,0.0,Seattle,3,2020,8,7,2
2020-08-24,0.0,Seattle,3,2020,8,7,2
2020-08-25,0.0,Seattle,3,2020,8,7,2
2020-08-26,0.0,Seattle,3,2020,8,7,2
2020-08-27,0.0,Seattle,3,2020,8,7,2
2020-08-28,0.0,Seattle,3,2020,8,7,2
2020-08-29,0.0,Seattle,3,2020,8,7,2
2020-08-30,0.0,Seattle,3,2020,8,7,2
2020-08-31,0.025714285714285714,Seattle,3,2020,8,7,2
2020-09-01,0.0,Seattle,3,2020,9,8,2
2020-09-02,0.0,Seattle,3,2020,9,8,2
2020-09-03,0.0,Seattle,3,2020,9,8,2
2020-09-04,0.0,Seattle,3,2020,9,8,2
2020-09-05,0.0,Seattle,3,2020,9,8,2
2020-09-06,0.0,Seattle,3,2020,9,8,2
2020-09-07,0.0,Seattle,3,2020,9,8,2
2020-09-08,0.0,Seattle,3,2020,9,8,2
2020-09-09,0.0,Seattle,3,2020,9,8,2
2020-09-10,0.0,Seattle,3,2020,9,8,2
2020-09-11,0.0,Seattle,3,2020,9,8,2
2020-09-12,0.0,Seattle,3,2020,9,8,2
2020-09-13,0.0,Seattle,3,2020,9,8,2
2020-09-14,0.01,Seattle,3,2020,9,8,2
2020-09-15,0.08142857142857143,Seattle,3,2020,9,8,2
2020-09-16,0.014285714285714287,Seattle,3,2020,9,8,2
2020-09-17,0.0,Seattle,3,2020,9,8,2
2020-09-18,0.041428571428571426,Seattle,3,2020,9,8,2
2020-09-19,0.325,Seattle,3,2020,9,8,2
2020-09-20,0.24714285714285716,Seattle,3,2020,9,8,2
2020-09-21,0.028333333333333335,Seattle,3,2020,9,8,2
2020-09-22,0.041666666666666664,Seattle,3,2020,9,8,2
2020-09-23,0.34,Seattle,3,2020,9,8,2
2020-09-24,0.778,Seattle,3,2020,9,8,2
2020-09-25,0.6699999999999999,Seattle,3,2020,9,8,2
2020-09-26,0.405,Seattle,3,2020,9,8,2
2020-09-27,0.045,Seattle,3,2020,9,8,2
2020-09-28,0.002,Seattle,3,2020,9,8,2
2020-09-29,0.0,Seattle,3,2020,9,8,2
2020-09-30,0.0,Seattle,3,2020,9,8,2
2020-10-01,0.0,Seattle,4,2020,10,9,3
2020-10-02,0.0,Seattle,4,2020,10,9,3
2020-10-03,0.002,Seattle,4,2020,10,9,3
2020-10-04,0.030000000000000002,Seattle,4,2020,10,9,3
2020-10-05,0.014000000000000002,Seattle,4,2020,10,9,3
2020-10-06,0.0,Seattle,4,2020,10,9,3
2020-10-07,0.0,Seattle,4,2020,10,9,3
2020-10-08,0.01,Seattle,4,2020,10,9,3
2020-10-09,0.10400000000000001,Seattle,4,2020,10,9,3
2020-10-10,0.9339999999999999,Seattle,4,2020,10,9,3
2020-10-11,0.10857142857142857,Seattle,4,2020,10,9,3
2020-10-12,0.44999999999999996,Seattle,4,2020,10,9,3
2020-10-13,0.5633333333333334,Seattle,4,2020,10,9,3
2020-10-14,0.03333333333333333,Seattle,4,2020,10,9,3
2020-10-15,0.0,Seattle,4,2020,10,9,3
2020-10-16,0.011666666666666667,Seattle,4,2020,10,9,3
2020-10-17,0.17285714285714285,Seattle,4,2020,10,9,3
2020-10-18,0.023333333333333334,Seattle,4,2020,10,9,3
2020-10-19,0.060000000000000005,Seattle,4,2020,10,9,3
2020-10-20,0.17833333333333334,Seattle,4,2020,10,9,3
2020-10-21,0.06857142857142857,Seattle,4,2020,10,9,3
2020-10-22,0.22199999999999998,Seattle,4,2020,10,9,3
2020-10-23,0.03666666666666667,Seattle,4,2020,10,9,3
2020-10-24,0.10142857142857142,Seattle,4,2020,10,9,3
2020-10-25,0.006,Seattle,4,2020,10,9,3
2020-10-26,0.0033333333333333335,Seattle,4,2020,10,9,3
2020-10-27,0.0,Seattle,4,2020,10,9,3
2020-10-28,0.0,Seattle,4,2020,10,9,3
2020-10-29,0.02,Seattle,4,2020,10,9,3
2020-10-30,0.022857142857142857,Seattle,4,2020,10,9,3
2020-10-31,0.0,Seattle,4,2020,10,9,3
2020-11-01,0.0,Seattle,4,2020,11,10,3
2020-11-02,0.0,Seattle,4,2020,11,10,3
2020-11-03,0.1985714285714286,Seattle,4,2020,11,10,3
2020-11-04,0.6857142857142857,Seattle,4,2020,11,10,3
2020-11-05,0.1942857142857143,Seattle,4,2020,11,10,3
2020-11-06,0.098,Seattle,4,2020,11,10,3
2020-11-07,0.005,Seattle,4,2020,11,10,3
2020-11-08,0.008,Seattle,4,2020,11,10,3
2020-11-09,0.012,Seattle,4,2020,11,10,3
2020-11-10,0.09833333333333333,Seattle,4,2020,11,10,3
2020-11-11,0.02,Seattle,4,2020,11,10,3
2020-11-12,0.004,Seattle,4,2020,11,10,3
2020-11-13,0.88,Seattle,4,2020,11,10,3
2020-11-14,0.01,Seattle,4,2020,11,10,3
2020-11-15,0.475,Seattle,4,2020,11,10,3
2020-11-16,0.04,Seattle,4,2020,11,10,3
2020-11-17,0.694,Seattle,4,2020,11,10,3
2020-11-18,0.71,Seattle,4,2020,11,10,3
2020-11-19,0.29,Seattle,4,2020,11,10,3
2020-11-20,0.05,Seattle,4,2020,11,10,3
2020-11-21,0.024,Seattle,4,2020,11,10,3
2020-11-22,0.026000000000000002,Seattle,4,2020,11,10,3
2020-11-23,0.19499999999999998,Seattle,4,2020,11,10,3
2020-11-24,0.06333333333333334,Seattle,4,2020,11,10,3
2020-11-25,0.21600000000000003,Seattle,4,2020,11,10,3
2020-11-26,0.032,Seattle,4,2020,11,10,3
